,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,WindSpeed,Date,Country
87,evensk,61.92,159.24,100,1.88,0,1.66,1540095529,RU
88,tiznit,29.7,-9.73,94,15.8,56,3.56,1540095529,MA
89,dikson,73.51,80.55,100,-2.9,48,3.41,1540095529,RU
90,tiksi,71.64,128.87,85,-7.13,68,2.31,1540095529,RU
91,ilulissat,69.22,-51.1,61,-8.0,48,7.7,1540093800,GL
92,zhanaozen,43.35,52.85,78,5.75,0,3.31,1540095530,KZ
93,ayacucho,-13.16,-74.23,93,2.95,64,0.91,1540095530,PE
94,mar del plata,-46.43,-67.52,44,12.05,36,5.61,1540095530,AR
95,zeya,53.74,127.27,46,3.38,24,1.51,1540095530,RU
96,xichang,27.88,102.25,46,15.65,0,0.71,1540095531,CN
97,geraldton,49.72,-86.95,74,-2.0,75,4.1,1540094400,CA
98,cabo san lucas,22.89,-109.91,83,25.0,5,3.66,1540089900,MX
99,mizque,-17.94,-65.34,90,7.1,12,1.06,1540095531,BO
100,xining,36.62,101.77,75,4.85,0,1.61,1540095531,CN
101,san patricio,-26.98,-56.83,71,22.5,44,2.56,1540095531,PY
102,avarua,-21.21,-159.78,73,23.0,75,4.1,1540094400,CK
103,saskylakh,71.97,114.09,85,-10.05,76,2.31,1540095532,RU
104,sassandra,4.95,-6.09,98,25.88,0,1.96,1540095532,CI
105,tasiilaq,65.61,-37.64,63,-2.0,0,7.2,1540093800,GL
106,ugra,54.78,34.32,80,-0.63,76,2.31,1540095532,RU
107,punta arenas,-53.16,-70.91,65,7.0,0,8.7,1540090800,CL
108,thompson,55.74,-97.86,74,-2.0,90,4.6,1540094400,CA
109,saint-philippe,45.36,-73.48,64,5.0,75,4.6,1540094400,CA
110,ornskoldsvik,63.29,18.72,75,7.0,88,4.6,1540093800,SE
111,zhigansk,66.77,123.37,94,-3.1,92,3.76,1540095533,RU
112,vung tau,10.35,107.08,70,31.0,75,0.5,1540094400,VN
113,mahebourg,-20.41,57.7,88,24.0,20,1.5,1540090800,MU
114,huambo,-12.78,15.73,93,12.78,12,0.96,1540095534,AO
115,nanga eboko,4.68,12.37,94,21.28,64,2.86,1540095534,CM
116,iwanai,42.97,140.51,85,15.93,0,5.16,1540095534,JP
117,marquette,46.54,-87.4,96,2.0,90,5.7,1540093080,US
118,norman wells,65.28,-126.83,92,-2.0,75,2.1,1540094400,CA
119,narsaq,60.91,-46.05,48,-7.0,0,3.1,1540093800,GL
120,zarubino,42.65,131.06,75,16.85,12,2.76,1540095535,RU
121,samarai,-10.62,150.67,100,27.05,80,5.31,1540095535,PG
122,gat,14.69,-16.54,88,25.0,76,5.56,1540090800,SN
123,ostrovnoy,68.05,39.51,99,-1.08,56,4.36,1540095535,RU
124,kavaratti,10.57,72.64,100,28.28,44,0.66,1540095535,IN
125,salalah,17.01,54.1,78,22.0,0,1.5,1540090200,OM
126,hasaki,35.73,140.83,40,21.0,20,6.2,1540092600,JP
127,iqaluit,63.75,-68.52,92,-9.0,90,4.6,1540090800,CA
128,hervey bay,-25.3,152.85,97,22.45,20,3.01,1540095536,AU
